STATE,CITY,CLLI,RACK ID,BAY NAME,BAY,RACK,CHASSIS,USAGE,FULL RACK NAME,RACK STATUS,RACK CREATED,RACK MODIFIED,EQUIPMENT NAME,EQPT STATUS,EQPT-W,EQPT-H,EQPT-D,EQPT CREATED,EQPT MODIFIED,RACK-W,RACK-H,RACK-D,SOURCE SYSTEM,EQPT_ID
CO,PALMER LAKE,PLLKCO01,8603795,PLLKCO01.001.0002.200.002.001,BAY,RACK,CHASSIS,,PLLKCO01.001.0002.200.002.001.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01.INFINERA.DTN-X.00002.1,IN SERVICE,19.5,12.2,9.3,9/22/2016 16:51,3/23/2017 16:51,19,84,12,GRANITE,2787515
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.200.002.001,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.200.002.002,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8603804,PLLKCO01.001.0002.200.002.002,BAY,RACK,,,PLLKCO01.001.0002.200.002.002.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,8613847,PLLKCO01.001.0002.200.002.003,BAY,RACK,,,PLLKCO01.001.0002.200.002.003.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.200.002.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8603808,PLLKCO01.001.0002.200.002.004,BAY,RACK,,,PLLKCO01.001.0002.200.002.004.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.200.002.004,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.200.003.005,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587599,PLLKCO01.001.0002.200.003.005,BAY,RACK,,,PLLKCO01.001.0002.200.003.005.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
