STATE,CITY,CLLI,RACK ID,BAY NAME,BAY,RACK,CHASSIS,USAGE,FULL RACK NAME,RACK STATUS,RACK CREATED,RACK MODIFIED,EQUIPMENT NAME,EQPT STATUS,EQPT-W,EQPT-H,EQPT-D,EQPT CREATED,EQPT MODIFIED,RACK-W,RACK-H,RACK-D,EQPT_ID,SOURCE SYSTEM
CO,CASTLE ROCK,CSRKCOCF,446535042,CSRKCOCF.001.0003.005.002.008,BAY,RACK,,,CSRKCOCF.001.0003.005.002.008.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,CASTLE ROCK,CSRKCOCF,446535041,CSRKCOCF.001.0003.005.002.009,BAY,RACK,,,CSRKCOCF.001.0003.005.002.009.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,CASTLE ROCK,CSRKCOCF,446535040,CSRKCOCF.001.0003.005.002.010,BAY,RACK,,,CSRKCOCF.001.0003.005.002.010.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,CASTLE ROCK,CSRKCOCF,446535039,CSRKCOCF.001.0003.005.002.011,BAY,RACK,,,CSRKCOCF.001.0003.005.002.011.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,CASTLE ROCK,CSRKCOCF,446535038,CSRKCOCF.001.0003.005.002.012,BAY,RACK,,,CSRKCOCF.001.0003.005.002.012.FR,,,3/20/2024 7:23:04 PM,,,,,,,,26,84,15,,
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.001.0004..002.001,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.001.0004..002.002,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.001.0004..002.003,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.001.BLG1..001.002,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.001.BLG1..001.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.001.BLG1..001.004,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.001.BLG1..001.005,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.001.BLG1..WMT.001,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.001.BLG3..R01.001,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,CASTLE ROCK,CSRKCOCF,,CSRKCOCF.FLOOR.0402.01,BAY,,,,,,,,,,,,,,,,,,,
