id,name,type,building,location,status,owner,definition,proInventoryId
"8603824","PLLKCO01.001.0003.330.001.004","RACK","0003","PLLKCO01.001.0003.330.001.004","RETAIN","Lumen","Generic Rack","8603824"
"8613848","PLLKCO01.001.0003.340.001.001","RACK","0003","PLLKCO01.001.0003.340.001.001","RETAIN","Lumen","Generic Rack","8613848"
"8613850","PLLKCO01.001.0003.340.001.002","RACK","0003","PLLKCO01.001.0003.340.001.002","RETAIN","Lumen","Generic Rack","8613850"
"8587615","PLLKCO01.001.0003.340.001.003","RACK","0003","PLLKCO01.001.0003.340.001.003","RETAIN","Lumen","Generic Rack","8587615"
"8613849","PLLKCO01.001.0003.340.001.004","RACK","0003","PLLKCO01.001.0003.340.001.004","RETAIN","Lumen","Generic Rack","8613849"
"8587554","PLLKCO01.001.0004..001.001","RACK","0004","PLLKCO01.001.0004..001.001","RETAIN","Lumen","Generic Rack","8587554"
"8587558","PLLKCO01.001.0004..001.002","RACK","0004","PLLKCO01.001.0004..001.002","RETAIN","Lumen","Generic Rack","8587558"
"8587548","PLLKCO01.001.0004..001.003","RACK","0004","PLLKCO01.001.0004..001.003","RETAIN","Lumen","Generic Rack","8587548"
"8644598","PLLKCO01.001.0004..001.004","RACK","0004","PLLKCO01.001.0004..001.004","RETAIN","Lumen","Generic Rack","8644598"
"8644602","PLLKCO01.001.0004..001.005","RACK","0004","PLLKCO01.001.0004..001.005","RETAIN","Lumen","Generic Rack","8644602"
"8587545","PLLKCO01.001.0004..001.006","RACK","0004","PLLKCO01.001.0004..001.006","RETAIN","Lumen","Generic Rack","8587545"
"8644604","PLLKCO01.001.0004..001.007","RACK","0004","PLLKCO01.001.0004..001.007","RETAIN","Lumen","Generic Rack","8644604"
"8587543","PLLKCO01.001.0004..001.008","RACK","0004","PLLKCO01.001.0004..001.008","RETAIN","Lumen","Generic Rack","8587543"
"8613831","PLLKCO01.001.0004..001.009","RACK","0004","PLLKCO01.001.0004..001.009","RETAIN","Lumen","Generic Rack","8613831"
"8644600","PLLKCO01.001.0004..001.010","RACK","0004","PLLKCO01.001.0004..001.010","RETAIN","Lumen","Generic Rack","8644600"
"8587551","PLLKCO01.001.0004..001.011","RACK","0004","PLLKCO01.001.0004..001.011","RETAIN","Lumen","Generic Rack","8587551"
"8644596","PLLKCO01.001.0004..002.001","RACK","0004","PLLKCO01.001.0004..002.001","RETAIN","Lumen","Generic Rack","8644596"
"8587532","PLLKCO01.001.0004..002.002","RACK","0004","PLLKCO01.001.0004..002.002","RETAIN","Lumen","Generic Rack","8587532"
"8587541","PLLKCO01.001.0004..002.003","RACK","0004","PLLKCO01.001.0004..002.003","RETAIN","Lumen","Generic Rack","8587541"
"8613827","PLLKCO01.001.0004..002.004","RACK","0004","PLLKCO01.001.0004..002.004","RETAIN","Lumen","Generic Rack","8613827"
"8587537","PLLKCO01.001.0004..002.005","RACK","0004","PLLKCO01.001.0004..002.005","RETAIN","Lumen","Generic Rack","8587537"
"8613829","PLLKCO01.001.0004..002.006","RACK","0004","PLLKCO01.001.0004..002.006","RETAIN","Lumen","Generic Rack","8613829"
"8587539","PLLKCO01.001.0004..002.007","RACK","0004","PLLKCO01.001.0004..002.007","RETAIN","Lumen","Generic Rack","8587539"
"8644592","PLLKCO01.001.0004..002.008","RACK","0004","PLLKCO01.001.0004..002.008","RETAIN","Lumen","Generic Rack","8644592"
"8587535","PLLKCO01.001.0004..002.009","RACK","0004","PLLKCO01.001.0004..002.009","RETAIN","Lumen","Generic Rack","8587535"
"8644594","PLLKCO01.001.0004..002.010","RACK","0004","PLLKCO01.001.0004..002.010","RETAIN","Lumen","Generic Rack","8644594"
"8587538","PLLKCO01.001.0004..002.011","RACK","0004","PLLKCO01.001.0004..002.011","RETAIN","Lumen","Generic Rack","8587538"
"8613852","PLLKCO01.001.H101..001.001","RACK","H101","PLLKCO01.001.H101..001.001","RETAIN","Lumen","Generic Rack","8613852"
"8603828","PLLKCO01.001.H101..001.002","RACK","H101","PLLKCO01.001.H101..001.002","RETAIN","Lumen","Generic Rack","8603828"
"8603836","PLLKCO01.001.H101..002.001","RACK","H101","PLLKCO01.001.H101..002.001","RETAIN","Lumen","Generic Rack","8603836"
"8644635","PLLKCO01.001.H101..003.001","RACK","H101","PLLKCO01.001.H101..003.001","RETAIN","Lumen","Generic Rack","8644635"
"8644637","PLLKCO01.001.H101..003.002","RACK","H101","PLLKCO01.001.H101..003.002","RETAIN","Lumen","Generic Rack","8644637"
"8603832","PLLKCO01.001.H101..004.001","RACK","H101","PLLKCO01.001.H101..004.001","RETAIN","Lumen","Generic Rack","8603832"
"8644629","PLLKCO01.001.H101..005.001","RACK","H101","PLLKCO01.001.H101..005.001","RETAIN","Lumen","Generic Rack","8644629"
"8644631","PLLKCO01.001.H101..005.002","RACK","H101","PLLKCO01.001.H101..005.002","RETAIN","Lumen","Generic Rack","8644631"
"8644633","PLLKCO01.001.H101..005.003","RACK","H101","PLLKCO01.001.H101..005.003","RETAIN","Lumen","Generic Rack","8644633"
"13406294","PLLKCO01.001.H101..006.001","RACK","H101","PLLKCO01.001.H101..006.001","RETAIN","Lumen","Generic Rack","13406294"
"13406295","PLLKCO01.001.H101..006.002","RACK","H101","PLLKCO01.001.H101..006.002","RETAIN","Lumen","Generic Rack","13406295"
"8587631","PLLKCO01.001.H101..00Z.001","RACK","H101","PLLKCO01.001.H101..00Z.001","RETAIN","Lumen","Generic Rack","8587631"
"8587635","PLLKCO01.001.H101..00Z.002","RACK","H101","PLLKCO01.001.H101..00Z.002","RETAIN","Lumen","Generic Rack","8587635"
"2111111","HUAWEI OPTIX","EQUIPMENT","0001","PLLKCO01.001.0001.140.001.001","RETAIN","Lumen","","2111111"
"2771971","HUAWEI OPTIX","EQUIPMENT","0001","PLLKCO01.001.0001.140.001.001","RETAIN","Lumen","","2771971"
"2327548","HUAWEI OPTIX","EQUIPMENT","0001","PLLKCO01.001.0001.140.001.001","RETAIN","Lumen","","2327548"
"2173430","HUAWEI OPTIX","EQUIPMENT","0001","PLLKCO01.001.0001.140.001.001","RETAIN","Lumen","","2173430"
"2787515","INFINERA DTN-X","EQUIPMENT","0002","PLLKCO01.001.0002.200.002.001","RETAIN","Lumen","","2787515"
"2408375","HUAWEI OPTIX","EQUIPMENT","0002","PLLKCO01.001.0002.220.001.001","RETAIN","Lumen","","2408375"
"2704862","HUAWEI OPTIX","EQUIPMENT","0002","PLLKCO01.001.0002.220.001.001","RETAIN","Lumen","","2704862"
"2478389","HUAWEI OPTIX","EQUIPMENT","0002","PLLKCO01.001.0002.220.001.001","RETAIN","Lumen","","2478389"
"2112595","HUAWEI OPTIX","EQUIPMENT","0002","PLLKCO01.001.0002.220.001.001","RETAIN","Lumen","","2112595"
"2206601","HUAWEI OPTIX","EQUIPMENT","0002","PLLKCO01.001.0002.220.001.001","RETAIN","Lumen","","2206601"
"2150286","HUAWEI OPTIX","EQUIPMENT","0002","PLLKCO01.001.0002.220.001.001","RETAIN","Lumen","","2150286"
"2312955","HUAWEI OPTIX","EQUIPMENT","0002","PLLKCO01.001.0002.220.001.002","RETAIN","Lumen","","2312955"
"2731487","HUAWEI OPTIX","EQUIPMENT","0002","PLLKCO01.001.0002.220.001.002","RETAIN","Lumen","","2731487"
"2611082","HUAWEI OPTIX","EQUIPMENT","0002","PLLKCO01.001.0002.220.001.002","RETAIN","Lumen","","2611082"
"2669999","HUAWEI OPTIX","EQUIPMENT","0002","PLLKCO01.001.0002.220.001.002","RETAIN","Lumen","","2669999"
"2604719","CIENA 6500","EQUIPMENT","0002","PLLKCO01.001.0002.220.001.003","RETAIN","Lumen","","2604719"
"2724275","CIENA 6500","EQUIPMENT","0002","PLLKCO01.001.0002.220.001.003","RETAIN","Lumen","","2724275"
"2500168","Unknown Unidentified Device","EQUIPMENT","0004","PLLKCO01.001.0004..001.001","RETAIN","Lumen","","2500168"
"2894627","INFINERA INFINERA","EQUIPMENT","0004","PLLKCO01.001.0004..002.001","RETAIN","Lumen","","2894627"
"2813437","INFINERA INFINERA","EQUIPMENT","0004","PLLKCO01.001.0004..002.001","RETAIN","Lumen","","2813437"
"2761321","INFINERA INFINERA","EQUIPMENT","0004","PLLKCO01.001.0004..002.001","RETAIN","Lumen","","2761321"
"2741465","Unknown Unidentified Device","EQUIPMENT","0004","PLLKCO01.001.0004..002.002","RETAIN","Lumen","","2741465"
"2605080","INFINERA INFINERA","EQUIPMENT","0004","PLLKCO01.001.0004..002.002","RETAIN","Lumen","","2605080"
"2397824","INFINERA INFINERA","EQUIPMENT","0004","PLLKCO01.001.0004..002.002","RETAIN","Lumen","","2397824"
"2556525","INFINERA INFINERA","EQUIPMENT","0004","PLLKCO01.001.0004..002.002","RETAIN","Lumen","","2556525"
"2668081","Generic Optical Gateway (GWYOSX)","EQUIPMENT","H101","PLLKCO01.001.H101..001.001","RETAIN","Lumen","","2668081"
"2340473","Generic Optical Gateway (GWYOSX)","EQUIPMENT","H101","PLLKCO01.001.H101..001.002","RETAIN","Lumen","","2340473"
"2192438","INFINERA INFINERA","EQUIPMENT","H101","PLLKCO01.001.H101..002.001","RETAIN","Lumen","","2192438"
"2121282","INFINERA INFINERA","EQUIPMENT","H101","PLLKCO01.001.H101..002.001","RETAIN","Lumen","","2121282"
"2527854","INFINERA INFINERA","EQUIPMENT","H101","PLLKCO01.001.H101..002.001","RETAIN","Lumen","","2527854"
"2235057","INFINERA INFINERA","EQUIPMENT","H101","PLLKCO01.001.H101..002.001","RETAIN","Lumen","","2235057"
"2664322","INFINERA INFINERA","EQUIPMENT","H101","PLLKCO01.001.H101..002.001","RETAIN","Lumen","","2664322"
"2842439","INFINERA INFINERA","EQUIPMENT","H101","PLLKCO01.001.H101..002.001","RETAIN","Lumen","","2842439"
"2599424","INFINERA INFINERA","EQUIPMENT","H101","PLLKCO01.001.H101..002.001","RETAIN","Lumen","","2599424"
"2148837","INFINERA INFINERA","EQUIPMENT","H101","PLLKCO01.001.H101..002.001","RETAIN","Lumen","","2148837"
"2161614","CISCO 2811","EQUIPMENT","H101","PLLKCO01.001.H101..004.001","RETAIN","Lumen","","2161614"
"2800427","CISCO 1924","EQUIPMENT","H101","PLLKCO01.001.H101..004.001","RETAIN","Lumen","","2800427"
"2664468","CISCO 2511","EQUIPMENT","H101","PLLKCO01.001.H101..004.001","RETAIN","Lumen","","2664468"
