id,name,manufacturer,heightU,depth,powerWatts,color,category
"EQ_CIENA_6500","6500","CIENA",9,1.25,0,"#3b82f6","NETWORK"
"EQ_HUAWEI_OPTIX","OPTIX","HUAWEI",2,1.25,0,"#3b82f6","NETWORK"
"EQ_INFINERA_DTN_X","Infinera 9U","INFINERA",9,1.25,0,"#3b82f6","NETWORK"
"EQ_INFINERA_INFINERA","INFINERA 2U","INFINERA",2,1.25,0,"#3b82f6","NETWORK"
"EQ_CISCO_2811","2811","CISCO",2,1.25,0,"#3b82f6","NETWORK"
"EQ_CISCO_1924","CISCO 1924","CISCO",2,1.25,0,"#3b82f6","NETWORK"
"EQ_CISCO_2511","2511","CISCO",2,1.25,0,"#3b82f6","NETWORK"
"EQ_CISCO_7204","7204","CISCO",5,1.25,0,"#3b82f6","NETWORK"
"EQ_CANOGA_CP9101","CP9101","CANOGA",9,1.25,0,"#3b82f6","NETWORK"
"EQ_ADVA_FSP_3000R7","FSP 3000R7","ADVA",3,1.25,0,"#3b82f6","NETWORK"
"EQ_ABB_BDFB","BDFB","ABB",11,2.5,0,"#3b82f6","NETWORK"
"EQ_EATON_AC_PNL","AC-PNL","EATON",4,1.25,0,"#3b82f6","NETWORK"
"EQ_JUNIPER_EX","EX","JUNIPER",2,1.25,0,"#3b82f6","NETWORK"
"EQ_ADVA_FSP_3000RE","FSP 3000RE","ADVA",2,1.25,0,"#3b82f6","NETWORK"
"EQ_SERVER_1U","Generic 1U Server","Unidentified",1,1.15,450,"#3b82f6","SERVER"
"EQ_SERVER_2U","Dual-Node 2U Server","Unidentified",2,1.15,1200,"#6366f1","SERVER"
"EQ_SWITCH_1U","48-Port Edge Switch","Unidentified",1,1,150,"#06b6d4","NETWORK"
"EQ_STORAGE_4U","60-Bay Storage Array","Unidentified",4,1.2,2400,"#14b8a6","STORAGE"
"EQ_PATCH_1U","24-Port Patch Panel","Unidentified",2,1.25,0,"#94a3b8","PATCH_PANEL"
"EQ_INFINERA_GENERIC","Infinera 4U","INFINERA",4,1.25,500,"#f97316","NETWORK"
"EQ_FRAME_GWYOSX","Optical Gateway (GWYOSX)","Unidentified",42,1,0,"#94a3b8","PATCH_PANEL"
"EQ_FRAME_OSP_OCP","OSP OCP Frame","Unidentified",42,1,0,"#94a3b8","PATCH_PANEL"
"EQ_FRAME_ISPR","ISPR Frame","Unidentified",42,1,0,"#94a3b8","PATCH_PANEL"
"EQ_PANEL_FAP","Fiber Adapter Panel","Unidentified",4,1.25,0,"#cbd5e1","PATCH_PANEL"
"EQ_PANEL_OSPOSX","Optical Splitter","Unidentified",6,1.25,0,"#cbd5e1","PATCH_PANEL"
"EQ_PANEL_FDP","Fiber Dist Panel","Unidentified",6,1,0,"#cbd5e1","PATCH_PANEL"
"DEF-E-1772732443236","NORTEL 13U","Nortel",13,1.25,500,"#3b82f6","SERVER"
